Quote ID,Date,Supplier,Product,Electronic Component 1 Name,Electronic Component 1 Cost,Mechanical Component 1 Name,Mechanical Component 1 Cost,Raw Material 1 Name,Raw Material 1 Cost,Conversion Cost 1 Type,Conversion Cost 1 Detail,Conversion Cost 1 Cost,Logistic Choice,Estimated Delivery Cost,Total Cost per Unit,Quantity,Total Project Cost,Electronic Component 2 Name,Electronic Component 2 Cost,Electronic Component 3 Name,Electronic Component 3 Cost,Mechanical Component 2 Name,Mechanical Component 2 Cost,Mechanical Component 3 Name,Mechanical Component 3 Cost,Raw Material 2 Name,Raw Material 2 Cost,Conversion Cost 2 Type,Conversion Cost 2 Detail,Conversion Cost 2 Cost,Conversion Cost 3 Type,Conversion Cost 3 Detail,Conversion Cost 3 Cost,Quality Control 1 Type,Quality Control 1 Detail,Quality Control 1 Cost,Quality Control 2 Type,Quality Control 2 Detail,Quality Control 2 Cost
001,10th February 2071,AutoElectrix,TPS-100,Potentiometer,0.75,Injection-Molded Plastic Casing,0.55,ABS Plastic,0.4,Labor,Assembly Labor,0.6,Air,0.5,6.2,1000,6200,Microcontroller,1.5,Voltage Regulator,0.25,Brass Contact Pins,0.3,Mounting Clamp,0.35,Steel,0.25,Labor,Testing and Calibration,0.35,Labor,Packaging Labor,0.25,Quality Control,Inspection,0.15,Quality Control,Testing Equipment Depreciation,0.1
002,15th February 2071,ElectroParts,O2-Sensor-200,Resistor,0.50,Thermal Shielding,0.45,Aluminum,0.35,Labor,Welding Labor,0.65,Road,0.45,7.1,800,5680,Pressure Sensor,1.2,Heat Sink,0.30,Spring Clip,0.25,Gear Mechanism,0.40,Copper,0.30,Labor,Quality Inspection,0.40,Labor,Transportation Handling,0.30,Quality Control,Functionality Test,0.20,Quality Control,Environmental Stress Screening,0.15
003,20th February 2071,AdvancedAuto,ECU-300,Capacitor,0.60,Mounting Bracket,0.50,Stainless Steel,0.40,Labor,Circuit Board Assembly,0.70,Sea,0.60,8.3,500,4150,Transistor,1.0,Diode,0.20,Connector Housing,0.35,Adjustable Lever,0.38,Nickel,0.33,Labor,Machine Calibration,0.45,Labor,Handling and Storage,0.35,Quality Control,Dimensional Inspection,0.25,Quality Control,Life Cycle Testing,0.18
004,25th February 2071,AutoInnovate,TPS-101,Thermistor,0.55,Rubber Seal,0.48,Silicone Rubber,0.42,Labor,Surface Treatment,0.68,Air,0.55,7.8,1200,9360,Temperature Sensor,1.1,Amplifier,0.28,Copper Wire,0.32,Rotary Shaft,0.43,Titanium,0.38,Labor,Electronic Testing,0.50,Labor,Inventory Management,0.38,Quality Control,Material Analysis,0.27,Quality Control,Vibration Analysis,0.22
005,28th February 2071,TechnoDrive,O2-Sensor-201,LED,0.45,Actuator Arm,0.42,Brass,0.38,Labor,Electroplating,0.62,Sea,0.50,7.4,700,5180,Relay,0.90,Operational Amplifier,0.25,Plastic Knob,0.30,Cam Follower,0.37,Zinc,0.35,Labor,Assembly Line Setup,0.47,Labor,Import Duties,0.32,Quality Control,Pressure Testing,0.23,Quality Control,Reliability Testing,0.19
006,1st March 2071,AutoTechSolutions,ECU-301,Diode,0.48,Connector Body,0.44,Glass,0.39,Labor,Molding,0.63,Road,0.47,7.5,600,4500,Inductor,0.85,Crystal Oscillator,0.27,Steel Rod,0.31,Linkage Assembly,0.36,Graphite,0.34,Labor,Equipment Maintenance,0.48,Labor,Export Processing,0.33,Quality Control,Electrical Testing,0.24,Quality Control,Wear Testing,0.20
007,4th March 2071,InnovativeAuto,TPS-102,Integrated Circuit,0.57,Valve Body,0.46,Rubber,0.41,Labor,Coating Application,0.67,Sea,0.52,7.9,900,7110,Piezoelectric Sensor,0.95,Filter,0.29,Ceramic Disc,0.33,Control Arm,0.39,Lead,0.37,Labor,Worker Training,0.51,Labor,Customs Clearance,0.35,Quality Control,Chemical Analysis,0.26,Quality Control,Endurance Testing,0.21
008,7th March 2071,ElectroDynamic,O2-Sensor-202,Fuse,0.49,Heat Sink,0.43,Carbon Fiber,0.40,Labor,Heat Treatment,0.64,Air,0.48,7.6,750,5700,Servo Motor,0.88,Rectifier,0.26,Metal Clip,0.30,Bushing Assembly,0.35,Iron,0.36,Labor,Safety Testing,0.49,Labor,Quality Assurance,0.34,Quality Control,Torque Testing,0.23,Quality Control,Non-Destructive Testing,0.18
009,10th March 2071,AutoInnovations,ECU-302,Voltage Regulator,0.53,Piston,0.47,Polycarbonate,0.42,Labor,Polishing,0.65,Road,0.49,7.7,550,4235,Optocoupler,0.92,Power Supply,0.28,Wire Harness,0.32,Pivot Point,0.38,Alloy Steel,0.35,Labor,Process Optimization,0.50,Labor,Supply Chain Management,0.36,Quality Control,Leak Testing,0.22,Quality Control,Durability Testing,0.17
010,13th March 2071,TechnoParts,TPS-103,Oscillator,0.51,Gasket,0.41,Teflon,0.37,Labor,Annealing,0.61,Sea,0.46,7.2,1100,7920,Magnetic Sensor,0.80,Charge Controller,0.30,Spring,0.29,Slider Mechanism,0.34,Magnesium,0.33,Labor,Product Certification,0.46,Labor,Logistics Coordination,0.31,Quality Control,Acoustic Testing,0.25,Quality Control,Impact Testing,0.19
011,16th March 2071,DynamicAuto,O2-Sensor-203,Transducer,0.54,Bracket Assembly,0.42,Ceramic,0.38,Labor,Casting,0.62,Air,0.45,7.3,850,6205,Variable Resistor,0.78,Energy Harvester,0.31,Pin Connector,0.28,Rack and Pinion,0.33,Tungsten,0.32,Labor,Tooling Setup,0.45,Labor,Risk Management,0.30,Quality Control,Radiographic Inspection,0.26,Quality Control,Corrosion Testing,0.21
012,19th March 2071,EcoAutoTech,ECU-303,Photodiode,0.50,Switch Assembly,0.40,High-Density Polyethylene,0.36,Labor,Drilling,0.60,Road,0.44,7.1,650,4615,LCD Display,0.77,Signal Processor,0.32,Rivet,0.27,Helical Spring,0.31,Silicon,0.31,Labor,Firmware Updating,0.44,Labor,Inventory Optimization,0.29,Quality Control,Spectral Analysis,0.28,Quality Control,Thermal Cycling,0.22
013,22nd March 2071,NextGenAuto,TPS-104,Piezoelectric Crystal,0.52,Frame Structure,0.39,Composite Material,0.35,Labor,Stamping,0.59,Sea,0.43,6.9,1000,6900,RFID Chip,0.75,Hall Effect Sensor,0.33,Bearing,0.26,Sprocket Assembly,0.30,Bronze,0.30,Labor,Workflow Analysis,0.43,Labor,Transport Licensing,0.28,Quality Control,Ultrasonic Testing,0.27,Quality Control,Fatigue Testing,0.23
014,25th March 2071,AutoFuturistics,O2-Sensor-204,Hall Sensor,0.47,Exhaust Clamp,0.38,Titanium Alloy,0.34,Labor,Laser Cutting,0.58,Air,0.42,6.8,800,5440,Bluetooth Module,0.72,Analog-to-Digital Converter,0.34,Bolt,0.24,Link Chain,0.29,Platinum,0.29,Labor,Prototype Development,0.42,Labor,Order Processing,0.27,Quality Control,X-Ray Inspection,0.25,Quality Control,Load Testing,0.20
015,28th March 2071,TechDriveSolutions,ECU-304,RFID Reader,0.55,Spring Assembly,0.37,Nylon,0.33,Labor,Forging,0.57,Road,0.41,7.0,750,5250,GPS Module,0.70,Power Amplifier,0.35,Screw,0.23,Linear Actuator,0.28,Silver,0.28,Labor,Energy Efficiency Testing,0.41,Labor,Material Sourcing,0.26,Quality Control,Tensile Testing,0.24,Quality Control,Pressure Cycle Testing,0.21
