Electronic Component 1,Mechanical Component 1 Name,Raw Material 1 Name,Conversion Cost 1 Type,Conversion Cost 1 Detail,Logistic Choice,Electronic Component 2 Name,,Electronic Component 3 Name,Mechanical Component 2 Name,Mechanical Component 3 Name,Raw Material 2 Name,Conversion Cost 2 Type,Conversion Cost 2 Detail,Conversion Cost 3 Type,Conversion Cost 3 Detail,Quality Control 1 Type,Quality Control 1 Detail,Quality Control 2 Type,Quality Control 2 Detail
Potentiometer,Injection-Molded Plastic Casing,ABS Plastic,Labor,Assembly Labor,Air,Microcontroller,Voltage Regulator,Brass Contact Pins,Mounting Clamp,Steel,Labor,Testing and Calibration,Labor,Packaging Labor,Quality Control,Inspection,Quality Control,Testing Equipment Depreciation,Vibration Analysis
Resistor,Thermal Shielding,Aluminum,Labor,Welding Labor,Road,Pressure Sensor,Heat Sink,Spring Clip,Gear Mechanism,Copper,Labor,Quality Inspection,Labor,Transportation Handling,Quality Control,Functionality Test,Quality Control,Environmental Stress Screening
Capacitor,Mounting Bracket,Stainless Steel,Labor,Circuit Board Assembly,Sea,Transistor,Diode,Connector Housing,Adjustable Lever,Nickel,Labor,Machine Calibration,Labor,Handling and Storage,Quality Control,Dimensional Inspection,Quality Control,Life Cycle Testing
Thermistor,Rubber Seal,Silicone Rubber,Labor,Surface Treatment,Air,Temperature Sensor,Amplifier,Copper Wire,Rotary Shaft,Titanium,Labor,Electronic Testing,Labor,Inventory Management,Quality Control,Material Analysis,Quality Control,Vibration Analysis
LED,Actuator Arm,Brass,Labor,Electroplating,Sea,Relay,Operational Amplifier,Plastic Knob,Cam Follower,Zinc,Labor,Assembly Line Setup,Labor,Import Duties,Quality Control,Pressure Testing,Quality Control,Reliability Testing
Diode,Connector Body,Glass,Labor,Molding,Sea,Inductor,Crystal Oscillator,Steel Rod,Linkage Assembly,Graphite,Labor,Equipment Maintenance,Labor,Export Processing,Quality Control,Electrical Testing,Quality Control,Wear Testing
Integrated Circuit,Valve Body,Rubber,Labor,Coating Application,Road,Piezoelectric Sensor,Filter,Ceramic Disc,Control Arm,Lead,Labor,Worker Training,Labor,Customs Clearance,Quality Control,Chemical Analysis,Quality Control,Endurance Testing
Fuse,Heat Sink,Carbon Fiber,Labor,Heat Treatment,Air,Servo Motor,Rectifier,Metal Clip,Bushing Assembly,Iron,Labor,Safety Testing,Labor,Quality Assurance,Quality Control,Torque Testing,Quality Control,Non-Destructive Testing
Voltage Regulator,Piston,Polycarbonate,Labor,Polishing,Sea,Optocoupler,Power Supply,Wire Harness,Pivot Point,Alloy Steel,Labor,Process Optimization,Labor,Supply Chain Management,Quality Control,Leak Testing,Quality Control,Durability Testing
Oscillator,Gasket,Teflon,Labor,Annealing,Road,Magnetic Sensor,Charge Controller,Spring,Slider Mechanism,Magnesium,Labor,Product Certification,Labor,Logistics Coordination,Quality Control,Acoustic Testing,Quality Control,Impact Testing
Transducer,Bracket Assembly,Ceramic,Labor,Casting,Air,Variable Resistor,Energy Harvester,Pin Connector,Rack and Pinion,Tungsten,Labor,Tooling Setup,Labor,Risk Management,Quality Control,Radiographic Inspection,Quality Control,Corrosion Testing
Photodiode,Switch Assembly,High-Density Polyethylene,Labor,Drilling,Sea,LCD Display,Signal Processor,Rivet,Helical Spring,Silicon,Labor,Firmware Updating,Labor,Inventory Optimization,Quality Control,Spectral Analysis,Quality Control,Thermal Cycling
Piezoelectric Crystal,Frame Structure,Composite Material,Labor,Stamping,Road,RFID Chip,Hall Effect Sensor,Bearing,Sprocket Assembly,Bronze,Labor,Workflow Analysis,Labor,Transport Licensing,Quality Control,Ultrasonic Testing,Quality Control,Fatigue Testing
Hall Sensor,Exhaust Clamp,Titanium Alloy,Labor,Laser Cutting,Air,Bluetooth Module,Analog-to-Digital Converter,Bolt,Link Chain,Platinum,Labor,Prototype Development,Labor,Order Processing,Quality Control,X-Ray Inspection,Quality Control,Load Testing
RFID Reader,Spring Assembly,Nylon,Labor,Forging,Sea,GPS Module,Power Amplifier,Screw,Linear Actuator,Silver,Labor,Energy Efficiency Testing,Labor,Material Sourcing,Quality Control,Tensile Testing,Quality Control,Pressure Cycle Testing
Solenoid,Filter Housing,Fiberglass,Labor,Extrusion,Road,Accelerometer,DC-DC Converter,Nut,Actuator Rod,Galvanized Steel,Labor,Operational Efficiency Analysis,Labor,Supply Network Planning,Quality Control,Hermetic Testing,Quality Control,Shock Testing
